City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,silver city,32.7701,-108.2803,22.04,62,0,4.63,US,1689491303
164,port alfred,-33.5906,26.891,14.54,70,76,0.45,ZA,1689491303
165,kapuskasing,49.4169,-82.4331,14.05,100,40,2.06,CA,1689491167
166,peniche,39.3558,-9.3811,17.94,69,62,8.97,PT,1689491303
167,georgetown,5.4112,100.3354,32.96,70,20,4.12,MY,1689491174
168,aykhal,66.0,111.5,14.52,37,100,6.48,RU,1689491304
169,hatillo,18.4863,-66.8254,27.27,94,100,0.89,PR,1689491304
170,ilulissat,69.2167,-51.1,4.01,100,100,1.54,GL,1689491305
171,solnechnyy,50.7214,136.6319,19.89,65,100,0.54,RU,1689491305
172,bela vista,-22.1089,-56.5211,16.34,53,100,1.42,BR,1689491305
173,mangrol,21.1167,70.1167,29.4,74,20,7.65,IN,1689491306
174,ponta delgada,37.7333,-25.6667,20.4,77,75,3.09,PT,1689491306
175,were ilu,10.6,39.4333,19.9,46,9,0.4,ET,1689491306
176,olonkinbyen,70.9221,-8.7187,4.42,97,100,8.54,SJ,1689491306
177,richards bay,-28.783,32.0377,19.19,41,0,1.95,ZA,1689491307
178,north bend,43.4065,-124.2243,15.14,100,100,3.6,US,1689491307
179,kone,-21.0595,164.8658,19.9,64,8,4.05,NC,1689491307
180,turbat,26.0023,63.044,34.94,46,10,3.55,PK,1689491308
181,kilindoni,-7.9139,39.6668,24.87,75,5,7.56,TZ,1689491308
182,valle hermoso,25.6667,-97.8333,28.92,89,6,6.45,MX,1689491308
183,nemuro,43.3236,145.575,13.18,93,100,3.68,JP,1689491309
184,udachny,66.4167,112.4,16.94,30,100,4.33,RU,1689491309
185,laguna,38.421,-121.4238,28.86,56,0,2.57,US,1689491309
186,gadzhiyevo,69.2551,33.3362,17.87,65,36,4.53,RU,1689491309
187,liwale,-9.7667,37.9333,24.25,44,6,3.96,TZ,1689491310
188,praia da vitoria,38.7333,-27.0667,19.86,84,7,4.34,PT,1689491310
